utterance,file
ta tar meg en runde jeg,BB_d1_AML.anonym.txt
steike er det i dag det blir e øl og sjampis og masse bra mat,BB_d1_AML.anonym.txt
* jeg har sett det allerede jeg,BB_d1_AML.anonym.txt
klarer vi å holde liv i denne da tru,BB_d1_AML.anonym.txt
ja vi vi har nok tid nok,BB_d1_AML.anonym.txt
* vi har litt,BB_d1_AML.anonym.txt
tid på oss,BB_d1_AML.anonym.txt
det er tid nok til å lære navnene,BB_d1_AML.anonym.txt
jeg tror det,BB_d1_AML.anonym.txt
var det alt eller var det,BB_d1_AML.anonym.txt
var det alt ja,BB_d1_AML.anonym.txt
var det ikke nok,BB_d1_AML.anonym.txt
er den låst ? ## det er sikkert den confession-greia,BB_d1_AML.anonym.txt
* ja,BB_d1_AML.anonym.txt
jentelus-_og_guttelusmentalitet med en gang,BB_d1_AML.anonym.txt
* nå må dere forte,BB_d1_AML.anonym.txt
dere før dere,BB_d1_AML.anonym.txt
* er det det,BB_d1_AML.anonym.txt
sånn gutte-_og_jenterom,BB_d1_AML.anonym.txt
* før dere får dobbeltsenga,BB_d1_AML.anonym.txt
jeg,BB_d1_AML.anonym.txt
jeg jeg vet liksom ikke ## jeg tror det ble det med en gang,BB_d1_AML.anonym.txt
tar den inni hjørnet her jeg da,BB_d1_AML.anonym.txt
ja og så tar jeg denne da,BB_d1_AML.anonym.txt
da får Rebekka og en eller annen annen dele seng da,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
det blir jo sånn militærbrakke med en gang det her alle guttene på samme står det navn på sengene eller ?,BB_d1_AML.anonym.txt
nei men det er bare sånn at # han har lagt sin der # jeg har okkupert den og så er det en som har okkupert der,BB_d1_AML.anonym.txt
så jeg må sove i dobbeltseng med en fyr ## faen,BB_d1_AML.anonym.txt
# meg og deg,BB_d1_AML.anonym.txt
ja da må jo jeg,BB_d1_AML.anonym.txt
ja altså jeg det går helt greit for meg jeg sparker ikke noen i_søvne jeg så det oj gud av meg,BB_d1_AML.anonym.txt
vi trodde mente at det her var gutterommet for det at blå stripe på,BB_d1_AML.anonym.txt
nei nærmest badet jenterom,BB_d1_AML.anonym.txt
jeg trudde dette her var e # jenterommet,BB_d1_AML.anonym.txt
hvert fall sånn som jeg har sett da på de tegningene og sånn så stod det jo # at det andre var gutterommet da,BB_d1_AML.anonym.txt
jammen det er blått bord,BB_d1_AML.anonym.txt
for pokker,BB_d1_AML.anonym.txt
det ser ut som mesteparten av oss røyker da,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
røyker dere eller,BB_d1_AML.anonym.txt
det er ganske bra,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
du vet du hva jeg har gjort jeg har bare tatt med # e # åtti røyk slutte,BB_d1_AML.anonym.txt
* jeg har bare seksti # jeg,BB_d1_AML.anonym.txt
jeg har dumma meg skikkelig ut # jeg har med meg seksti røyk,BB_d1_AML.anonym.txt
* prøve å slutte her inne,BB_d1_AML.anonym.txt
* mange røyk har du med Monica ?,BB_d1_AML.anonym.txt
ja men jeg får bare tenne på den ene med den andre til det er slutt | seksti tre,BB_d1_AML.anonym.txt
mange,BB_d1_AML.anonym.txt
pakker,BB_d1_AML.anonym.txt
har du det ?,BB_d1_AML.anonym.txt
sinnsykt mange | har med tre pakker,BB_d1_AML.anonym.txt
* jeg har seks kartonger med meg,BB_d1_AML.anonym.txt
ok for jeg har,BB_d1_AML.anonym.txt
seks kartonger,BB_d1_AML.anonym.txt
* hæ,BB_d1_AML.anonym.txt
ja jeg var ikke noe jeg skulle ikke tulle her skal jeg ha med så skal jeg ha med skal du gjøre noe får du gjøre det ordentlig,BB_d1_AML.anonym.txt
jeg har med en del røyk jeg òg men jeg har med mere tobakk,BB_d1_AML.anonym.txt
ja |,BB_d1_AML.anonym.txt
ja men altså # inntil vi tjener våre egne penger holdt jeg på å si eller sånt noe så,BB_d1_AML.anonym.txt
* du må,BB_d1_AML.anonym.txt
bare røyke på meg altså det gjør ingenting,BB_d1_AML.anonym.txt
vi røyker til vi ikke har mer og så kan vi snakke om det,BB_d1_AML.anonym.txt
* jeg har så jeg har tatt med meg så mye,BB_d1_AML.anonym.txt
at det # jeg regna egentlig med,BB_d1_AML.anonym.txt
det at det var noen andre som,BB_d1_AML.anonym.txt
* genialt for da skal dere,BB_d1_AML.anonym.txt
få leke med håndjerna mine,BB_d1_AML.anonym.txt
jeg er veldig lei av også presentere meg sjøl ja men jeg heter Per Morten noen kaller meg Morten noen kaller meg Per Morten holder ikke det da,BB_d1_AML.anonym.txt
joda,BB_d1_AML.anonym.txt
Per Morten # eller # åssen var det,BB_d1_AML.anonym.txt
*,BB_d1_AML.anonym.txt
Per Morten eller Morten,BB_d1_AML.anonym.txt
det er hva du har lyst til sjøl det Morten kan du godt kalle meg ja,BB_d1_AML.anonym.txt
* ok # ja,BB_d1_AML.anonym.txt
ja # ok,BB_d1_AML.anonym.txt
ok jeg er Monica jeg er åtte og tyve år opprinnelig fra Skjetten # bondelandet men har bodd i Oslo i meste av livet mitt,BB_d1_AML.anonym.txt
* bondeland,BB_d1_AML.anonym.txt
er Skje- kaller du Skjetten for bondelandet ?,BB_d1_AML.anonym.txt
* jeg,BB_d1_AML.anonym.txt
"gjør ikke det men alle som hø-_eller_hørte den gangen at jeg var fra Skjetten "" du er fra bondelandet ja """,BB_d1_AML.anonym.txt
å,BB_d1_AML.anonym.txt
"ok # jeg bare "" nei """,BB_d1_AML.anonym.txt
hvor er Skjetten hen da ?,BB_d1_AML.anonym.txt
